title,description
Become a Data Engineer,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. At the end of the program, you’ll combine your new skills by completing a capstone project."
Become a Digital Marketer,"Learn to create marketing content, use social media to amplify your message, make content discoverable in search, run Ads campaigns and advertise on Facebook. Additionally, learn how display and video ads work and how to market with email, and measure and optimize with Google Analytics."
Become a UX Designer,"You’ll learn how to create a digital user experience that is ready to be handed off for development. You’ll start by building familiarity and fluency with design research fundamentals to identify the user and the solutions they need. You’ll then synthesize your research, and use design sprints to take an idea from concept to low-fidelity prototype. Finally, you’ll learn how to turn your low-fidelity prototype into a high-fidelity design, and improve its performance based on data.

Along the way, you’ll complete projects that can be incorporated into a UX portfolio at the end of the program in order to showcase your capabilities to future employers."
Deep Learning,"Become an expert in neural networks, and learn to implement them using the deep learning framework PyTorch. Build convolutional networks for image recognition, recurrent networks for sequence generation, generative adversarial networks for image generation, and learn how to deploy models accessible from a website."
Full Stack Web Developer,"The goal of the Full Stack Web Developer Nanodegree program is to equip learners with the unique skills they need to build database-backed APIs and web applications. A graduate of this program will be able to design and build databases for software applications, create and deploy database-backed web APIs, and secure and manage user authentication and access control for an application backend. Students will also learn how to deploy a Flask-based web application to the cloud using Docker and Kubernetes."
Learn to Code,"Learn the basics of programming through HTML, CSS, and Python. Explore possible programming paths with our final project selection. Get confident in your ability to think and problem-solve like a programmer. Be primed and ready for our career-ready programs after mastering these projects."
Become a C++ Developer,"Get hands-on experience by coding five real-world projects. Learn to build a route planner using OpenStreetMap data, write a process monitor for your computer, and implement your own smart pointers. Finally, showcase all your newfound skills by building a multithreaded traffic simulator and coding your own C++ application."
Become a Data Scientist,"You’ll master the skills necessary to become a successful Data Scientist. You’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
"
Business Analytics,"In this program, you’ll learn foundational data skills that apply across functions and industries. You’ll learn to analyze data and build models with Excel, query databases using SQL, and create informative data visualizations with Tableau."
Become a Machine Learning Engineer,"Learn advanced machine learning techniques and algorithms and how to package and deploy your models to a production environment. Gain practical experience using Amazon SageMaker to deploy trained models to a web application and evaluate the performance of your models. A/B test models and learn how to update the models as you gather more data, an important skill in industry. "
Become a Data Analyst,"Advance your programming skills and refine your ability to work with messy, complex datasets. You’ll learn to manipulate and prepare data for analysis, and create visualizations for data exploration. Finally, you’ll learn to use your data skills to tell a story with data."
Intro to Information Security,"This course provides a one-semester overview of information security. It is designed to help students with,prior computer and programming knowledge — both undergraduate and graduate — understand this important,priority in society today. The technical content of the course gives a broad overview of essential concepts and,methods for providing and evaluating security in information processing systems (operating systems and,applications, networks, protocols, and so on). ,In addition to its technical content, the course touches on the,importance of management and administration, the place information security holds in overall business risk,,social issues such as individual privacy, and the role of public policy."
Programming for Data Science with Python,"Learn the programming fundamentals required for a career in data science. By the end of the program, you will be able to use Python, SQL, Command Line, and Git."
Spark,"In this course, you’ll learn how to use Spark to work with big data and build machine learning models at scale, including how to wrangle and model massive datasets with PySpark, the Python library for interacting with Spark. In the first lesson, you will learn about big data and how Spark fits into the big data ecosystem. In lesson two, you will be practicing processing and cleaning datasets to get comfortable with Spark’s SQL and dataframe APIs. In the third lesson, you will debug and optimize your Spark code when running on a cluster. In lesson four, you will use Spark’s Machine Learning Library to train machine learning models at scale."
Become a Self-Driving Car Engineer,"You'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. Next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. Then, you'll work with a team to program Carla, Udacity’s real self-driving car. "
Become a Cloud Dev Ops Engineer,"Learn to design and deploy infrastructure as code, build and monitor CI/CD pipelines for different deployment strategies, and deploy scalable microservices using Kubernetes. At the end of the program, you’ll combine your new skills by completing a capstone project."
Intro to Inferential Statistics,"Inferential statistics allows us to draw conclusions from data that might not be immediately obvious. This course focuses on enhancing your ability to develop hypotheses and use common tests such as t-tests, ANOVA tests, and regression to validate your claims."
Become an AI Product Manager,"You’ll learn how to evaluate the business value of an AI product. You’ll start by building familiarity and fluency with common AI concepts. You’ll then learn how to scope and build a data set, train a model, and evaluate its business impact. Finally, you’ll learn how to ensure a product is successful by focusing on scalability, potential biases, and compliance. 

Along the way, you’ll review case studies and examples to help you focus on how to define metrics to measure the business value for a proposed product. "
Craft Your Cover Letter,
Reinforcement Learning,"You should take this course if you have an interest in machine learning and the desire to engage with it from a theoretical perspective. Through a combination of classic papers and more recent work, you will explore automated decision-making from a computer-science perspective. You will examine efficient algorithms, where they exist, for single-agent and multi-agent planning as well as approaches to learning near-optimal decisions from experience. At the end of the course, you will replicate a result from a published paper in reinforcement learning."
Full-Stack Interview Prep,
Front-End Interview Prep,
Machine Learning Interview Preparation,"In this course, you’ll learn exactly what to expect during a machine learning interview. You’ll cover all the common questions and technical strategies, and review a range of important topics, from machine learning algorithms to image categorization. You’ll also learn best practices for data structure questions and whiteboard problems, and at the end of the course, you’ll get unlimited access to mock interviews on Pramp. Complete this course and hone your interview skills today!"
Android Interview Prep,
Front End Web Developer,"The goal of the Front End Web Developer Nanodegree program is to equip learners with the unique skills they need to build and develop a variety of websites and applications. Graduates of this Nanodegree program will be able to construct responsive websites using CSS, Flexbox and CSS Grid, develop interactive websites and UI (User Interface) applications using JavaScript and HTML, and connect a web application to backend server data using JavaScript. Students will also build competency automating application build and deployment using Webpack and improving offline performance of websites using Service Worker."
Introduction to Machine Learning Course," This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity. "
Data Structures & Algorithms in Swift,"Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Swift. You'll review frequently-asked technical interview questions and learn how to structure your responses.,You will answer practice problems and quizzes to test your abilities. Then you'll practice mock interviews to get specific recommendations for improvement. Be ready for anything the technical interviewer throws at you."
Data Science Interview Prep,"Data science job interviews  can be daunting. Technical interviewers often ask you to design an experiment or model. You may need to solve problems using Python and SQL. You will likely need to show how you connect data skills to business decisions and strategy.,In this course, you'll review the common questions asked in data science, data analyst, and machine learning interviews. You'll learn how to answer machine learning questions about predictions, underfitting and overfitting. You'll walk through typical data analyst questions about statistics and probability. Then, you'll dive deeper into the data structures and algorithms you need to know. You'll also learn tips for answering questions like, ""Tell me about one of your recent projects."" At the end of the course, you'll have a chance to practice what you've learned. You'll receive a link for unlimited mock interviews on Pramp. Practice the skills you need to show up for your data science interview with confidence!"
Product Manager Interview Preparation,"In this course, you'll learn exactly what to expect during a product management interview, and view exclusive interviews with practicing core, data, growth, and AI Product Managers. You'll cover how to prepare for a Product Management interview, and understand what skills, abilities, and experience impress hiring managers and help you stand out. You'll watch actual Product Managers run mock strategy and technical interviews, and learn directly from their experience and answers. Finally, you'll get to see what a day in the life looks like for product managers in different specializations. Throughout the course, you will receive additional practice questions to prepare you to ace your next PM interview. Complete this course and be equipped to land your dream role in product management!"
VR Interview Prep,
iOS Interview Prep,
Strengthen Your LinkedIn Network & Brand,
Refresh Your Resume,
AWS DeepRacer,"This course will prepare you to create, train, and fine-tune reinforcement learning models in the AWS DeepRacer 3D racing simulator. You will be able to utilize the car's tech specs, assembly, and calibration to train and deploy your racing model using AWS in both simulated and real-world tracks."
Intro to Deep Learning with PyTorch,"In this course, you’ll learn the basics of deep learning, and build your own deep neural networks using PyTorch. You’ll get practical experience with PyTorch through coding exercises and projects implementing state-of-the-art AI applications such as style transfer and text generation."
Intro to TensorFlow for Deep Learning,"Learn how to build deep learning applications with TensorFlow. This course was developed by the TensorFlow team and Udacity as a practical approach to deep learning for software developers. You'll get hands-on experience building your own state-of-the-art image classifiers and other deep learning models. You'll also use your TensorFlow models in the real world on mobile devices, in the cloud, and in browsers. Finally, you'll use advanced techniques and algorithms to work with large datasets. By the end of this course, you'll have all the skills necessary to start creating your own AI applications."
Eigenvectors and Eigenvalues,One of the most interesting topics to visualize in Linear Algebra are Eigenvectors and Eigenvalues. Here you will learn how to easily calculate them and how they are applicable and particularly interesting when it comes to machine learning implementations.
